timestamp,Close,High,Low,Open,Volume,metric
2011-08-18,10.9,10.9,10.9,10.9,0.48990826,18093.0
2011-08-21,11.7,11.7,11.7,11.7,0.08547009,20093.0
2011-08-24,10.5,11.5,10.5,11.5,2.35652174,19095.0
2011-08-27,10.0,10.0,10.0,10.0,0.0,16982.0
2011-08-30,8.0,8.0,8.0,8.0,1.0,15081.0
2011-09-02,8.88,8.88,8.0,8.12,79.76,13795.0
2011-09-05,8.89,8.89,8.89,8.89,0.0,15423.0
2011-09-08,7.4,7.98,7.4,7.98,6.86,13070.0
2011-09-11,7.4,7.4,7.4,7.4,0.0,12860.0
2011-09-14,5.53,5.72,5.52,5.58,61.14598362,12408.0
2011-09-17,4.87,4.87,4.87,4.87,0.3,10988.0
2011-09-20,5.66,5.66,4.92,4.92,89.28071068,18674.0
2011-09-23,5.72,5.72,5.7,5.7,20.68003681,17920.0
2011-09-27,4.92,4.92,4.85,4.85,24.3545,16396.0
2011-09-30,4.82,4.82,4.82,4.82,0.0,11283.0
2011-10-03,4.87,4.87,4.83,4.85,30.57595,11909.0
2011-10-06,4.8,4.99,4.8,4.88,170.84354937,11840.0
2011-10-09,3.89,3.89,3.89,3.89,11.0,10536.0
2011-10-12,3.93,3.99,3.93,3.95,79.523525,11384.0
2011-10-15,4.05,4.05,4.05,4.05,0.0,10932.0
2011-10-18,3.92,3.92,3.92,3.92,0.0,9916.0
2011-10-21,2.27,2.27,2.22,2.22,41.46334066,10025.0
2011-10-24,2.92,2.99,2.92,2.99,64.54,11426.0
2011-10-27,2.69,2.69,2.69,2.69,0.0,9205.0
2011-10-30,3.5,3.85,3.2,3.85,116.381395,9209.0
2011-11-02,3.33,3.33,3.33,3.33,0.0,10787.0
2011-11-05,3.0,3.21,3.0,3.21,103.512,11062.0
2011-11-08,3.08,3.08,3.08,3.08,47.47212389,11275.0
2011-11-11,3.3,3.3,3.3,3.3,65.434,9129.0
2011-11-14,2.47,2.95,2.47,2.95,183.4,10912.0
2011-11-17,2.99,3.0,2.5,3.0,17.01862876,9659.0
2011-11-20,2.37,2.37,2.37,2.37,11.0,8506.0
2011-11-23,2.59,2.59,2.59,2.59,0.0,8817.0
2011-11-26,2.77,2.77,2.77,2.77,10.09025271,7999.0
2011-11-29,2.72,3.23,2.69,2.69,62.46464882,11231.0
2011-12-02,3.04,3.45,3.04,3.45,131.75704018,10573.0
2011-12-05,2.93,2.99,2.82,2.82,207.3632656,10376.0
2011-12-08,3.3,3.5,2.95,3.27,115.71772709,9560.0
2011-12-11,3.27,3.37,3.17,3.17,157.77889484,8796.0
2011-12-14,3.47,3.49,3.42,3.42,90.7647307,9481.0
2011-12-17,3.44,3.44,3.44,3.44,0.0,7831.0
2011-12-20,4.55,4.75,4.53,4.75,94.74335338,10326.0
2011-12-23,4.22,4.35,3.84,3.86,149.49256188,9532.0
2011-12-26,4.33,4.33,4.27,4.27,56.73660508,9349.0
2011-12-29,4.5,4.5,4.3,4.3,36.56096221,8976.0
2012-01-01,5.0,5.0,4.58,4.58,21.602,8531.0
2012-01-04,5.57,5.57,4.93,4.93,107.23326023,9542.0
2012-01-07,6.8,6.8,6.8,6.8,0.29585799,9897.0
2012-01-10,7.14,7.14,6.24,6.24,62.28998018,11358.0
2012-01-13,6.6,7.36,6.6,6.8,48.97014484,11166.0
2012-01-16,7.1,7.1,6.2,6.2,12.64929577,11532.0
2012-01-19,6.22,7.0,5.52,5.52,246.71581895,11554.0
2012-01-22,6.79,6.83,6.03,6.79,81.27103303,8947.0
2012-01-25,6.31,6.86,6.0,6.26,81.1232564,12953.0
2012-01-28,4.91,4.91,4.91,4.91,0.25,10203.0
2012-01-31,5.3,6.22,3.8,5.7,110.50333334,11903.0
2012-02-03,6.3,6.35,5.93,6.29,155.5524532,12425.0
2012-02-06,5.6,5.9,5.2,5.6,29.17833833,10597.0
2012-02-09,5.89,5.89,5.51,5.52,83.60318875,12023.0
2012-02-12,5.67,5.78,5.55,5.78,64.8434324,11267.0
2012-02-15,4.69,5.08,4.69,4.9,67.78916535,14247.0
2012-02-18,4.23,4.73,4.14,4.67,254.39025201,11467.0
2012-02-21,4.58,4.58,4.3,4.52,358.44920149,11225.0
2012-02-24,4.95,5.22,4.95,5.12,37.59711782,12250.0
2012-02-27,5.04,5.1,4.95,4.97,309.05231411,11537.0
2012-03-01,5.0,5.05,4.9,4.99,291.16358119,11932.0
2012-03-04,4.81,4.81,4.77,4.78,113.6084153,12059.0
2012-03-07,4.93,5.09,4.93,5.05,373.49234495,11938.0
2012-03-10,4.94,4.99,4.85,4.91,114.04892826,10033.0
2012-03-13,5.3,5.32,4.96,4.99,734.65394306,12963.0
2012-03-16,5.26,5.41,5.26,5.3,157.69794429,12250.0
2012-03-19,4.83,5.37,4.83,5.24,415.19375675,11570.0
2012-03-22,4.91,4.98,4.72,4.86,396.4109947,12135.0
2012-03-25,4.54,4.84,4.54,4.61,15.47357192,10624.0
2012-03-28,4.93,4.95,4.72,4.75,418.64896346,12531.0
2012-03-31,4.9,4.92,4.89,4.9,158.37378321,10981.0
2012-04-03,4.99,5.04,4.86,5.04,244.30290125,13314.0
2012-04-06,4.99,4.99,4.81,4.9,725.95771755,11820.0
2012-04-10,4.8,4.87,4.75,4.75,314.81763742,13537.0
2012-04-13,4.93,4.95,4.81,4.88,1102.2658949,12315.0
2012-04-16,4.98,4.98,4.93,4.93,487.00754874,14672.0
2012-04-19,5.13,5.18,5.06,5.17,562.65170962,13400.0
2012-04-22,5.17,5.25,5.17,5.24,139.56864263,11365.0
2012-04-25,5.14,5.14,4.86,5.12,1634.21397671,13544.0
2012-04-28,4.91,5.07,4.85,5.07,205.02552687,12431.0
2012-05-01,4.97,5.04,4.86,4.94,831.74622588,15590.0
2012-05-04,5.07,5.15,5.07,5.1,776.04276349,17784.0
2012-05-07,5.05,5.08,4.97,5.05,874.47864459,20276.0
2012-05-10,4.87,5.04,4.87,5.02,907.11429341,16147.0
2012-05-13,4.94,4.95,4.94,4.95,395.46296566,17073.0
2012-05-16,5.04,5.04,4.98,5.0,178.0332215,20227.0
2012-05-19,5.07,5.08,5.05,5.08,168.0059752,26811.0
2012-05-22,5.03,5.07,5.0,5.05,678.06758546,22280.0
2012-05-25,5.08,5.1,5.08,5.09,274.91026252,24344.0
2012-05-28,5.07,5.08,5.07,5.08,180.68383317,24094.0
2012-05-31,5.17,5.17,5.1,5.14,1102.63991433,22548.0
2012-06-03,5.19,5.2,5.19,5.19,14.33475413,26003.0
2012-06-06,5.41,5.49,5.37,5.39,770.84630967,19044.0
2012-06-09,5.48,5.62,5.47,5.6,353.65603433,25160.0
2012-06-12,5.71,5.9,5.53,5.57,9330.40796353,17736.0
2012-06-15,6.42,6.42,5.56,5.88,2041.44728739,37978.0
2012-06-18,6.06,6.34,5.98,6.13,2483.09865301,31461.0
2012-06-21,6.64,6.69,6.64,6.66,480.84201914,23348.0
2012-06-24,6.4,6.45,6.35,6.35,599.17294991,22447.0
2012-06-27,6.49,6.68,6.34,6.41,11231.77828715,30787.0
2012-06-30,6.61,6.61,6.5,6.58,828.05206012,25747.0
2012-07-03,6.44,6.66,6.4,6.61,1936.3905711,26886.0
2012-07-06,6.59,6.6,6.39,6.59,1662.61510481,23077.0
2012-07-09,6.94,6.99,6.55,6.77,1751.75552753,25581.0
2012-07-12,7.59,7.59,7.1,7.15,2325.83757492,27087.0
2012-07-15,7.57,7.57,7.4,7.55,322.39208253,24275.0
2012-07-18,9.0,9.15,8.36,8.5,2613.84283038,27648.0
2012-07-21,8.74,8.91,8.2,8.52,2380.64465914,29404.0
2012-07-24,8.61,8.8,8.25,8.59,1298.89850451,28741.0
2012-07-27,8.83,8.91,8.76,8.76,687.49671529,26568.0
2012-07-30,9.0,9.0,8.54,8.7,2423.61350598,29054.0
2012-08-02,10.44,10.52,9.4,9.45,2209.70926083,32876.0
2012-08-05,10.71,10.93,10.29,10.93,1906.7619071,29815.0
2012-08-08,10.99,11.04,10.7,10.75,2746.09461909,39343.0
2012-08-11,11.38,11.4,11.25,11.32,358.81692698,30148.0
2012-08-14,12.25,12.3,11.81,11.9,1925.97314893,33320.0
2012-08-17,12.5,16.41,11.5,13.49,4868.27886465,44100.0
2012-08-20,10.05,10.33,7.86,8.09,3382.49965273,33907.0
2012-08-23,10.02,10.19,9.78,9.96,2710.255412,35374.0
2012-08-26,10.31,10.62,10.2,10.57,1412.06354452,27899.0
2012-08-29,10.78,11.05,10.49,11.0,4768.86011118,32397.0
2012-09-01,9.91,10.2,9.85,10.2,665.20204584,36448.0
2012-09-04,10.36,10.5,10.14,10.36,2649.65990947,33419.0
2012-09-07,11.03,11.1,10.83,11.03,1351.7701121,33314.0
2012-09-10,10.95,11.08,10.74,10.85,2492.06090795,30504.0
2012-09-13,11.3,11.42,10.98,11.17,2138.98077281,27581.0
2012-09-16,11.75,11.8,11.53,11.63,1287.40625221,25556.0
2012-09-19,12.32,12.5,11.9,11.9,1251.58348152,34730.0
2012-09-23,11.99,12.11,11.79,12.11,1084.46274346,23802.0
2012-09-26,12.2,12.2,11.53,11.8,3038.10509727,36372.0
2012-09-29,12.28,12.28,12.12,12.28,584.15406141,27182.0
