timestamp,Close,High,Low,Open,Volume,metric
2011-08-18,10.9,10.9,10.9,10.9,0.48990826,11917
2011-08-19,11.69,11.85,11.15,11.85,1.92657814,14238
2011-08-20,11.7,11.7,11.7,11.7,0.08547009,12994
2011-08-21,11.7,11.7,11.7,11.7,0.08547009,14851
2011-08-22,11.7,11.7,11.7,11.7,0.02863249,16250
2011-08-23,11.7,11.7,11.7,11.7,0.0,14090
2011-08-24,10.5,11.5,10.5,11.5,2.35652174,13677
2011-08-25,10.0,10.0,10.0,10.0,1.1,14535
2011-08-26,10.0,10.0,10.0,10.0,0.0,12402
2011-08-27,10.0,10.0,10.0,10.0,0.0,11855
2011-08-28,10.0,10.0,10.0,10.0,0.0,11561
2011-08-29,10.0,10.0,10.0,10.0,0.0,11413
2011-08-30,8.0,8.0,8.0,8.0,1.0,9275
2011-08-31,8.0,8.0,8.0,8.0,0.0,8974
2011-09-01,8.22,8.31,5.25,8.0,164.48,8721
2011-09-02,8.88,8.88,8.0,8.12,79.76,8493
2011-09-03,8.88,8.88,8.88,8.88,0.0,7478
2011-09-04,8.89,8.89,8.89,8.89,0.20022497,9990
2011-09-05,8.89,8.89,8.89,8.89,0.0,9954
2011-09-06,8.0,8.0,8.0,8.0,21.0,10002
2011-09-07,8.5,8.5,8.5,8.5,3.0,8782
2011-09-08,7.4,7.98,7.4,7.98,6.86,8002
2011-09-09,7.4,7.4,7.4,7.4,0.0,8723
2011-09-10,7.4,7.4,7.4,7.4,0.0,7295
2011-09-11,7.4,7.4,7.4,7.4,0.0,8157
2011-09-12,7.4,7.4,7.4,7.4,0.0,8192
2011-09-13,5.97,6.0,5.65,5.8,58.37138238,7999
2011-09-14,5.53,5.72,5.52,5.58,61.14598362,7427
2011-09-15,5.13,5.24,5.0,5.12,80.1407952,8035
2011-09-16,4.85,4.87,4.8,4.82,39.9140068,7724
2011-09-17,4.87,4.87,4.87,4.87,0.3,6738
2011-09-18,4.92,4.92,4.81,4.87,119.8128,7193
2011-09-19,4.9,4.9,4.9,4.9,20.0,8421
2011-09-20,5.66,5.66,4.92,4.92,89.28071068,13861
2011-09-21,5.66,5.79,5.66,5.7,17.62932238,9168
2011-09-22,5.72,5.72,5.68,5.68,43.77842238,10646
2011-09-23,5.72,5.72,5.7,5.7,20.68003681,13625
2011-09-24,5.68,5.76,5.68,5.7,90.58706633,12855
2011-09-25,6.05,6.05,6.05,6.05,12.22,13239
2011-09-26,4.8,6.06,4.8,6.06,39.57846334,11395
2011-09-27,4.92,4.92,4.85,4.85,24.3545,12057
2011-09-28,4.82,4.91,4.82,4.9,83.0533258,7047
2011-09-29,4.82,4.82,4.81,4.81,46.9645,6705
2011-09-30,4.82,4.82,4.82,4.82,0.0,7023
2011-10-01,4.82,4.82,4.82,4.82,0.0,6364
2011-10-02,4.82,4.82,4.82,4.82,0.0,6020
