,Close,High,Low,Open,Volume,date,totalVolume_less_than_0_01,addressesCount_less_than_0_01,totalVolume_f_0_01_to_0_1,addressesCount_f_0_01_to_0_1,totalVolume_f_0_1_to_1_x,addressesCount_f_0_1_to_1_x,totalVolume_f_0_1_to_1_y,addressesCount_f_0_1_to_1_y,totalVolume_f_0_1_to_1,addressesCount_f_0_1_to_1,totalVolume_f_1_to_10,addressesCount_f_1_to_10,totalVolume_f_10_to_100,addressesCount_f_10_to_100,totalVolume_f_100_to_1000,addressesCount_f_100_to_1000,totalVolume_f_1000_to_10000,addressesCount_f_1000_to_10000,totalVolume_f_10000_to_100000,addressesCount_f_10000_to_100000
0,3918.0,3968.59,3658.39,3667.01,14979.78226289,2017-09-25,15993.21430984,15215396.0,87011.50033307,2783329.0,422481.71364163,1293021.0,422481.71364163,1293021.0,422481.71364163,1293021.0,1311059.16706865,481304.0,2986583.71468737,104465.0,3863327.88433002,16572.0,3539779.90290545,1618.0,2834364.05493602,115.0
1,3888.03,3970.0,3850.61,3920.66,10014.62367124,2017-09-26,16031.83834384,15235211.0,87029.8353738,2782904.0,422079.57926889,1292512.0,422079.57926889,1292512.0,422079.57926889,1292512.0,1311177.55180391,481207.0,2984829.89537837,104429.0,3865071.43983119,16607.0,3531029.51564157,1618.0,2846545.07089052,116.0
2,4199.29,4226.73,3870.0,3883.95,15075.83871664,2017-09-27,16112.63779988,15267484.0,87542.49239264,2797535.0,424287.17487808,1299372.0,424287.17487808,1299372.0,424287.17487808,1299372.0,1316130.34324236,483076.0,2990592.78276388,104708.0,3864748.42838728,16607.0,3508378.80843795,1616.0,2857656.07188041,117.0
3,4184.84,4270.01,4123.5,4202.34,9625.92938226,2017-09-28,16190.29439902,15301260.0,87341.67452695,2795627.0,422743.0863794,1291495.0,422743.0863794,1291495.0,422743.0863794,1291495.0,1315743.4247706,482742.0,2997222.30887112,104935.0,3863801.20444314,16577.0,3522120.28373811,1625.0,2841343.46822526,116.0
4,4164.82,4227.62,4022.02,4183.47,12191.93065131,2017-09-29,16312.99955513,15343269.0,87887.39211903,2816078.0,418914.97015273,1280561.0,418914.97015273,1280561.0,418914.97015273,1280561.0,1315085.05767673,482521.0,2998753.34565946,104998.0,3871630.84238627,16578.0,3513604.0164415,1617.0,2839909.03980184,116.0
5,4326.09,4349.0,4154.28,4162.04,7496.78249925,2017-09-30,16363.43783664,15359725.0,88113.31412429,2822795.0,419280.76128429,1282720.0,419280.76128429,1282720.0,419280.76128429,1282720.0,1314928.61738927,482580.0,2999889.54932993,105012.0,3872885.18148849,16568.0,3500370.65744589,1616.0,2853719.16653666,117.0
6,4377.22,4377.22,4216.0,4326.09,7211.3351358,2017-10-01,16420.769988699998,15349350.0,88338.10034047,2829325.0,420041.59314352,1284677.0,420041.59314352,1284677.0,420041.59314352,1284677.0,1315660.48246247,482902.0,3000483.6967434,105072.0,3877192.64317496,16583.0,3496887.97109738,1612.0,2855150.43541789,117.0
7,4391.48,4453.0,4352.0,4369.33,8259.8186315,2017-10-02,16408.11668814,15362789.0,88655.20633206,2836046.0,421848.77352305,1289993.0,421848.77352305,1289993.0,421848.77352305,1289993.0,1318321.14741181,484200.0,3002632.41448331,105088.0,3868917.73597646,16544.0,3499730.7685687,1612.0,2755758.75091467,116.0
8,4315.83,4425.0,4218.0,4391.41,12468.05725642,2017-10-03,16495.85241205,15376591.0,88935.47811833,2844895.0,423588.52067909,1294812.0,423588.52067909,1294812.0,423588.52067909,1294812.0,1320842.65933359,485267.0,3002938.41256716,105180.0,3853081.80031859,16511.0,3500202.22324455,1616.0,2765938.20334064,117.0
9,4219.53,4343.0,4170.07,4315.73,8518.99274917,2017-10-04,16525.75517186,15400625.0,89528.00663972,2863691.0,425935.79253829,1300553.0,425935.79253829,1300553.0,425935.79253829,1300553.0,1323679.46062034,486231.0,3005546.02277446,105229.0,3859364.06426243,16549.0,3485432.55654964,1611.0,2765110.03420296,117.0
10,4301.09,4358.97,4137.96,4219.74,8419.96284162,2017-10-05,16601.60953947,15441192.0,89607.83537581,2867918.0,426872.91146688,1302615.0,426872.91146688,1302615.0,426872.91146688,1302615.0,1325639.51054824,487120.0,3008328.2196682,105423.0,3856484.39037245,16526.0,3475841.19924768,1612.0,2772682.91506631,118.0
11,4362.95,4425.0,4278.4,4301.09,8377.30164966,2017-10-06,16487.24048561,15450850.0,89923.58482337,2880721.0,426672.31078597,1303121.0,426672.31078597,1303121.0,426672.31078597,1303121.0,1324358.79148623,486942.0,3008991.44510472,105455.0,3855211.19888999,16541.0,3489412.58189303,1615.0,2762231.41731474,117.0
12,4423.3,4463.0,4312.82,4356.09,4646.40562117,2017-10-07,16585.31257222,15498430.0,89809.12810163,2879593.0,426504.50985155,1301786.0,426504.50985155,1301786.0,426504.50985155,1301786.0,1326213.37160054,487553.0,3010528.99448658,105514.0,3854744.8360949,16507.0,3486661.71613709,1610.0,2860957.431336,118.0
13,4597.98,4612.0,4404.5,4422.72,10083.86684927,2017-10-08,16554.37708622,15512528.0,89231.80393278,2863376.0,425360.93732237,1298441.0,425360.93732237,1298441.0,425360.93732237,1298441.0,1325823.0391233,487288.0,3012514.77285582,105626.0,3858837.68619978,16520.0,3479488.40090428,1604.0,2862544.6813313,118.0
14,4764.7,4865.0,4541.0,4597.97,12923.66661677,2017-10-09,16537.1015032,15519462.0,89363.5285691,2868132.0,425758.43439766,1299653.0,425758.43439766,1299653.0,425758.43439766,1299653.0,1329920.87600832,489057.0,3009946.90860301,105607.0,3859254.13951456,16539.0,3459852.27499857,1601.0,2867713.59032413,118.0
15,4749.29,4909.97,4700.0,4761.67,11666.02496241,2017-10-10,16474.38967847,15535719.0,89401.62417119,2869815.0,427142.61242197,1303135.0,427142.61242197,1303135.0,427142.61242197,1303135.0,1329919.15744966,489184.0,3009775.21463874,105524.0,3850521.48993021,16522.0,3462741.53864817,1608.0,2868207.03851648,118.0
