timestamp,Close,High,Low,Open,Volume,metric
2011-08-18,10.9,10.9,10.9,10.9,0.48990826,5.91856628
2011-08-19,11.69,11.85,11.15,11.85,1.92657814,7.7670445
2011-08-20,11.7,11.7,11.7,11.7,0.08547009,5.41691304
2011-08-21,11.7,11.7,11.7,11.7,0.08547009,5.68728636
2011-08-22,11.7,11.7,11.7,11.7,0.02863249,7.55144943
2011-08-23,11.7,11.7,11.7,11.7,0.0,6.96478529
2011-08-24,10.5,11.5,10.5,11.5,2.35652174,8.69528835
2011-08-25,10.0,10.0,10.0,10.0,1.1,5.9971543
2011-08-26,10.0,10.0,10.0,10.0,0.0,4.68880866
2011-08-27,10.0,10.0,10.0,10.0,0.0,5.02820664
2011-08-28,10.0,10.0,10.0,10.0,0.0,4.5128240900000005
2011-08-29,10.0,10.0,10.0,10.0,0.0,5.35429164
2011-08-30,8.0,8.0,8.0,8.0,1.0,9.82284288
2011-08-31,8.0,8.0,8.0,8.0,0.0,5.91458926
2011-09-01,8.22,8.31,5.25,8.0,164.48,5.61094361
2011-09-02,8.88,8.88,8.0,8.12,79.76,6.83590736
2011-09-03,8.88,8.88,8.88,8.88,0.0,3.82927997
2011-09-04,8.89,8.89,8.89,8.89,0.20022497,9.87229329
2011-09-05,8.89,8.89,8.89,8.89,0.0,7.1708289
2011-09-06,8.0,8.0,8.0,8.0,21.0,6.5240506400000005
2011-09-07,8.5,8.5,8.5,8.5,3.0,8.13899549
2011-09-08,7.4,7.98,7.4,7.98,6.86,4.66847138
2011-09-09,7.4,7.4,7.4,7.4,0.0,7.67312696
2011-09-10,7.4,7.4,7.4,7.4,0.0,5.3647648199999995
2011-09-11,7.4,7.4,7.4,7.4,0.0,5.09702161
2011-09-12,7.4,7.4,7.4,7.4,0.0,5.37417472
2011-09-13,5.97,6.0,5.65,5.8,58.37138238,4.15771892
2011-09-14,5.53,5.72,5.52,5.58,61.14598362,3.78071682
2011-09-15,5.13,5.24,5.0,5.12,80.1407952,7.32051008
2011-09-16,4.85,4.87,4.8,4.82,39.9140068,4.96831626
2011-09-17,4.87,4.87,4.87,4.87,0.3,5.15724892
2011-09-18,4.92,4.92,4.81,4.87,119.8128,5.37796247
2011-09-19,4.9,4.9,4.9,4.9,20.0,5.9273741300000005
2011-09-20,5.66,5.66,4.92,4.92,89.28071068,6.56952256
2011-09-21,5.66,5.79,5.66,5.7,17.62932238,5.17605015
2011-09-22,5.72,5.72,5.68,5.68,43.77842238,3.78408626
2011-09-23,5.72,5.72,5.7,5.7,20.68003681,4.229413
2011-09-24,5.68,5.76,5.68,5.7,90.58706633,6.71538477
2011-09-25,6.05,6.05,6.05,6.05,12.22,3.36760959
2011-09-26,4.8,6.06,4.8,6.06,39.57846334,2.94068583
2011-09-27,4.92,4.92,4.85,4.85,24.3545,4.67819858
2011-09-28,4.82,4.91,4.82,4.9,83.0533258,4.379026
2011-09-29,4.82,4.82,4.81,4.81,46.9645,3.40420567
2011-09-30,4.82,4.82,4.82,4.82,0.0,3.60740812
2011-10-01,4.82,4.82,4.82,4.82,0.0,3.6417062700000002
2011-10-02,4.82,4.82,4.82,4.82,0.0,3.17980555
2011-10-03,4.87,4.87,4.83,4.85,30.57595,9.04096463
2011-10-04,4.98,5.3,4.8,4.86,142.52162238,3.67361125
2011-10-05,4.92,6.25,4.8,4.92,113.72,3.96348448
2011-10-06,4.8,4.99,4.8,4.88,170.84354937,8.08896045
2011-10-07,4.61,4.81,4.59,4.8,94.64,4.29311937
2011-10-08,3.99,4.57,3.99,4.57,56.0,3.31460839
2011-10-09,3.89,3.89,3.89,3.89,11.0,2.93826347
2011-10-10,4.51,4.51,3.99,3.99,132.5,3.34552432
2011-10-11,4.1,4.1,3.98,3.98,78.08,5.23729813
2011-10-12,3.93,3.99,3.93,3.95,79.523525,4.62867518
2011-10-13,3.97,3.97,3.93,3.93,109.621766,4.15961153
2011-10-14,4.05,4.05,4.05,4.05,96.97751266,3.40803011
2011-10-15,4.05,4.05,4.05,4.05,0.0,3.37524119
2011-10-16,4.05,4.05,4.05,4.05,0.0,3.20900548
2011-10-17,3.92,3.92,3.92,3.92,10.24,4.29614349
2011-10-18,3.92,3.92,3.92,3.92,0.0,2.9028807199999997
2011-10-19,3.92,3.92,3.92,3.92,0.0,3.26182986
